,Region,Weather Score,Date
0,Karlsruhe,6.0,2025-01-20
1,Karlsruhe,5.0,2025-01-21
2,Karlsruhe,0.05,2025-01-22
3,Karlsruhe,-3.0,2025-01-23
4,Karlsruhe,3.0,2025-01-24
5,Karlsruhe,7.0,2025-01-25
6,Karlsruhe,2.0,2025-01-26
7,Karlsruhe,8.0,2025-01-27
8,Karlsruhe,-4.0,2025-01-28
9,Karlsruhe,8.0,2025-01-29
10,Karlsruhe,3.0,2025-01-30
11,Karlsruhe,8.0,2025-01-31
12,Karlsruhe,8.0,2025-02-01
13,Karlsruhe,8.0,2025-02-02
14,Karlsruhe,8.0,2025-02-03
15,Ostschweiz,6.0,2025-01-20
16,Ostschweiz,8.0,2025-01-21
17,Ostschweiz,3.0,2025-01-22
18,Ostschweiz,-3.65,2025-01-23
19,Ostschweiz,8.0,2025-01-24
20,Ostschweiz,13.0,2025-01-25
21,Ostschweiz,3.0,2025-01-26
22,Ostschweiz,3.0,2025-01-27
23,Ostschweiz,0.0,2025-01-28
24,Ostschweiz,2.9,2025-01-29
25,Ostschweiz,8.0,2025-01-30
26,Ostschweiz,10.0,2025-01-31
27,Ostschweiz,10.0,2025-02-01
28,Ostschweiz,8.0,2025-02-02
29,Ostschweiz,6.0,2025-02-03
30,Střední Čechy,3.0,2025-01-20
31,Střední Čechy,5.0,2025-01-21
32,Střední Čechy,5.0,2025-01-22
33,Střední Čechy,1.75,2025-01-23
34,Střední Čechy,0.0,2025-01-24
35,Střední Čechy,8.0,2025-01-25
36,Střední Čechy,8.0,2025-01-26
37,Střední Čechy,3.0,2025-01-27
38,Střední Čechy,6.0,2025-01-28
39,Střední Čechy,8.0,2025-01-29
40,Střední Čechy,3.0,2025-01-30
41,Střední Čechy,8.0,2025-01-31
42,Střední Čechy,8.0,2025-02-01
43,Střední Čechy,6.0,2025-02-02
44,Střední Čechy,6.0,2025-02-03
45,Région lémanique,6.0,2025-01-20
46,Région lémanique,6.0,2025-01-21
47,Région lémanique,-1.0,2025-01-22
48,Région lémanique,-4.0,2025-01-23
49,Région lémanique,8.0,2025-01-24
50,Région lémanique,11.0,2025-01-25
51,Région lémanique,1.0,2025-01-26
52,Région lémanique,8.0,2025-01-27
53,Région lémanique,-6.0,2025-01-28
54,Région lémanique,-1.0,2025-01-29
55,Région lémanique,8.0,2025-01-30
56,Région lémanique,8.0,2025-01-31
57,Région lémanique,8.0,2025-02-01
58,Région lémanique,2.0,2025-02-02
59,Région lémanique,0.0,2025-02-03
60,Prov. Vlaams-Brabant,-0.8,2025-01-20
61,Prov. Vlaams-Brabant,6.0,2025-01-21
62,Prov. Vlaams-Brabant,-5.0,2025-01-22
63,Prov. Vlaams-Brabant,-7.0,2025-01-23
64,Prov. Vlaams-Brabant,-5.0,2025-01-24
65,Prov. Vlaams-Brabant,-1.0,2025-01-25
66,Prov. Vlaams-Brabant,2.0,2025-01-26
67,Prov. Vlaams-Brabant,-1.0,2025-01-27
68,Prov. Vlaams-Brabant,-8.0,2025-01-28
69,Prov. Vlaams-Brabant,-4.0,2025-01-29
70,Prov. Vlaams-Brabant,6.0,2025-01-30
71,Prov. Vlaams-Brabant,13.0,2025-01-31
72,Prov. Vlaams-Brabant,8.0,2025-02-01
73,Prov. Vlaams-Brabant,8.0,2025-02-02
74,Prov. Vlaams-Brabant,8.0,2025-02-03
75,Severoiztochen,8.0,2025-01-20
76,Severoiztochen,6.0,2025-01-21
77,Severoiztochen,8.0,2025-01-22
78,Severoiztochen,8.0,2025-01-23
79,Severoiztochen,8.0,2025-01-24
80,Severoiztochen,8.0,2025-01-25
81,Severoiztochen,6.0,2025-01-26
82,Severoiztochen,6.0,2025-01-27
83,Severoiztochen,8.0,2025-01-28
84,Severoiztochen,13.0,2025-01-29
85,Severoiztochen,8.0,2025-01-30
86,Severoiztochen,2.0,2025-01-31
87,Severoiztochen,0.0,2025-02-01
88,Severoiztochen,4.3,2025-02-02
89,Severoiztochen,-5.1,2025-02-03
90,Jihozápad,3.0,2025-01-20
91,Jihozápad,3.0,2025-01-21
92,Jihozápad,3.0,2025-01-22
93,Jihozápad,1.45,2025-01-23
94,Jihozápad,8.0,2025-01-24
95,Jihozápad,8.0,2025-01-25
96,Jihozápad,8.0,2025-01-26
97,Jihozápad,5.0,2025-01-27
98,Jihozápad,6.0,2025-01-28
99,Jihozápad,8.0,2025-01-29
100,Jihozápad,3.0,2025-01-30
101,Jihozápad,6.0,2025-01-31
102,Jihozápad,8.0,2025-02-01
103,Jihozápad,6.0,2025-02-02
104,Jihozápad,6.0,2025-02-03
105,Kýpros,16.0,2025-01-20
106,Kýpros,13.0,2025-01-21
107,Kýpros,-4.0,2025-01-22
108,Kýpros,0.0,2025-01-23
109,Kýpros,3.0,2025-01-24
110,Kýpros,10.0,2025-01-25
111,Kýpros,8.0,2025-01-26
112,Kýpros,10.0,2025-01-27
113,Kýpros,13.0,2025-01-28
114,Kýpros,10.0,2025-01-29
115,Kýpros,10.0,2025-01-30
116,Kýpros,13.0,2025-01-31
117,Kýpros,7.0,2025-02-01
118,Kýpros,7.0,2025-02-02
119,Kýpros,3.0,2025-02-03
120,Praha,6.0,2025-01-20
121,Praha,5.0,2025-01-21
122,Praha,5.0,2025-01-22
123,Praha,1.75,2025-01-23
124,Praha,8.0,2025-01-24
125,Praha,8.0,2025-01-25
126,Praha,8.0,2025-01-26
127,Praha,3.0,2025-01-27
128,Praha,6.0,2025-01-28
129,Praha,8.0,2025-01-29
130,Praha,3.0,2025-01-30
131,Praha,8.0,2025-01-31
132,Praha,8.0,2025-02-01
133,Praha,6.0,2025-02-02
134,Praha,6.0,2025-02-03
135,Yugoiztochen,6.0,2025-01-20
136,Yugoiztochen,10.0,2025-01-21
137,Yugoiztochen,3.0,2025-01-22
138,Yugoiztochen,8.0,2025-01-23
139,Yugoiztochen,8.0,2025-01-24
140,Yugoiztochen,13.0,2025-01-25
141,Yugoiztochen,13.0,2025-01-26
142,Yugoiztochen,13.0,2025-01-27
143,Yugoiztochen,8.0,2025-01-28
144,Yugoiztochen,13.0,2025-01-29
145,Yugoiztochen,11.0,2025-01-30
146,Yugoiztochen,2.0,2025-01-31
147,Yugoiztochen,2.0,2025-02-01
148,Yugoiztochen,5.0,2025-02-02
149,Yugoiztochen,-2.55,2025-02-03
150,Burgenland,-3.0,2025-01-20
151,Burgenland,5.0,2025-01-21
152,Burgenland,6.0,2025-01-22
153,Burgenland,5.45,2025-01-23
154,Burgenland,8.0,2025-01-24
155,Burgenland,6.0,2025-01-25
156,Burgenland,6.0,2025-01-26
157,Burgenland,8.0,2025-01-27
158,Burgenland,8.0,2025-01-28
159,Burgenland,-1.0,2025-01-29
160,Burgenland,6.0,2025-01-30
161,Burgenland,8.0,2025-01-31
162,Burgenland,8.0,2025-02-01
163,Burgenland,2.0,2025-02-02
164,Burgenland,0.0,2025-02-03
165,Tübingen,6.0,2025-01-20
166,Tübingen,10.0,2025-01-21
167,Tübingen,1.0,2025-01-22
168,Tübingen,-7.0,2025-01-23
169,Tübingen,8.0,2025-01-24
170,Tübingen,13.0,2025-01-25
171,Tübingen,2.0,2025-01-26
172,Tübingen,8.0,2025-01-27
173,Tübingen,-5.0,2025-01-28
174,Tübingen,8.0,2025-01-29
175,Tübingen,8.0,2025-01-30
176,Tübingen,10.0,2025-01-31
177,Tübingen,8.0,2025-02-01
178,Tübingen,8.0,2025-02-02
179,Tübingen,6.0,2025-02-03
180,Steiermark,6.0,2025-01-20
181,Steiermark,8.0,2025-01-21
182,Steiermark,8.0,2025-01-22
183,Steiermark,5.0,2025-01-23
184,Steiermark,6.0,2025-01-24
185,Steiermark,8.0,2025-01-25
