,Region,UNESCO_count,UNESCO_list
0,Abruzzo,0,[]
1,"Adana, Mersin",0,[]
2,Agder og Sør-Østlandet,0,[]
3,Alentejo,0,[]
4,Algarve,0,[]
5,Alsace,0,[]
6,"Anatoliki Makedonia, Thraki",0,[]
7,Andalucía,0,[]
8,Ankara,0,[]
9,"Antalya, Isparta, Burdur",0,[]
10,Aquitaine,0,[]
11,Aragón,0,[]
12,Arnsberg,0,[]
13,Attiki,1,['Acropolis']
14,Autonomous Province of Vojvodina,0,[]
15,Auvergne,0,[]
16,"Aydın, Denizli, Muğla",0,[]
17,"Ağrı, Kars, Iğdır, Ardahan",0,[]
18,"Balıkesir, Çanakkale",0,[]
19,Basilicata,0,[]
20,Basse-Normandie,0,[]
21,Bedfordshire and Hertfordshire,0,[]
22,"Berkshire, Buckinghamshire and Oxfordshire",1,['Blenheim Palace']
23,Berlin,5,"['Sanssouci Park', 'Museum Island', 'Berlin Modernism Housing Estates', 'ADGB Trade Union School', 'Falkenberg Garden City']"
24,Bourgogne,0,[]
25,Brandenburg,1,['ADGB Trade Union School']
26,Bratislavský kraj,0,[]
27,Braunschweig,0,[]
28,Bremen,0,[]
29,Bretagne,0,[]
30,Bucureşti-Ilfov,0,[]
31,Budapest,6,"['Parliament Building', 'Széchenyi Chain Bridge', 'Church of Saint Mary Magdalene', 'Budapest, including the Banks of the Danube, the Buda Castle Quarter and Andrássy Avenue', 'Andrássy Avenue and the Underground', 'Lions on the Chain Bridge']"
32,Burgenland,0,[]
33,"Bursa, Eskişehir, Bilecik",0,[]
34,Calabria,0,[]
35,Campania,1,['Partenio Regional Park']
36,Canarias,1,['Teide National Park']
37,Cantabria,2,"['Northern Route (Cantabria)', 'Cave of Altamira']"
38,Castilla y León,0,[]
39,Castilla-La Mancha,0,[]
40,Cataluña,0,[]
41,Centre — Val de Loire,0,[]
42,Centro (PT),0,[]
43,Centru,0,[]
44,Champagne-Ardenne,0,[]
45,Chemnitz,1,['Ore Mountains']
46,Cheshire,0,[]
47,City of Belgrade,0,[]
48,Ciudad de Ceuta,1,"[""Gorham's Cave Complex""]"
49,Ciudad de Melilla,0,[]
50,Comunidad Foral de Navarra,0,[]
51,Comunidad de Madrid,0,[]
52,Comunitat Valenciana,0,[]
53,Cornwall and Isles of Scilly,0,[]
54,Corse,0,[]
55,Crna Gora,1,['Durmitor National Park']
56,Cumbria,0,[]
57,Darmstadt,1,['Lorsch Abbey']
58,Derbyshire and Nottinghamshire,0,[]
59,Detmold,0,[]
60,Devon,0,[]
61,Dolnośląskie,1,['Church of Peace']
62,Dorset and Somerset,0,[]
63,Drenthe,0,[]
64,Dresden,1,['Ore Mountains']
65,Dytiki Elláda,0,[]
66,Dytiki Makedonia,0,[]
67,Dél-Alföld,0,[]
68,Dél-Dunántúl,6,"['Parliament Building', 'Széchenyi Chain Bridge', 'Church of Saint Mary Magdalene', 'Budapest, including the Banks of the Danube, the Buda Castle Quarter and Andrássy Avenue', 'Andrássy Avenue and the Underground', 'Lions on the Chain Bridge']"
69,Düsseldorf,0,[]
70,East Anglia,0,[]
71,East Wales,0,[]
72,East Yorkshire and Northern Lincolnshire,0,[]
73,Eastern Scotland,0,[]
74,Eastern and Midland,0,[]
75,Eesti,0,[]
76,Emilia-Romagna,0,[]
77,"Erzurum, Erzincan, Bayburt",0,[]
78,Espace Mittelland,1,['Cathedral']
79,Essex,0,[]
80,Etelä-Suomi,0,[]
81,Extremadura,0,[]
82,Flevoland,0,[]
83,Franche-Comté,2,"['Saint-Jacques Tower', 'Paris, Banks of the Seine']"
