,Region,UNESCO_name
0,Karlsruhe,
1,Ostschweiz,
2,Ostschweiz,Cathedral
3,Střední Čechy,
4,Région lémanique,
7,Prov. Vlaams-Brabant,
9,Prov. Vlaams-Brabant,Great Beguinage
15,Prov. Vlaams-Brabant,Grand Place
16,Prov. Vlaams-Brabant,Sonian Forest - Grippensdelle A
18,Prov. Vlaams-Brabant,Sonian Forest - Grippensdelle B
22,Prov. Vlaams-Brabant,Forest reserve Ticton A
23,Prov. Vlaams-Brabant,Forest reserve Ticton B
27,Severoiztochen,
28,Jihozápad,
29,Kýpros,
30,Kýpros,Church of Archangelos Michail
31,Praha,
32,Praha,Historic Centre of Prague
33,Yugoiztochen,
34,Burgenland,
35,Tübingen,
36,Steiermark,Eggenberg Castle
37,Steiermark,City of Graz – Schloss Eggenberg / buffer zone
38,Steiermark,City of Graz – Schloss Eggenberg / core zone
39,Steiermark,City of Graz – Historic Centre / buffer zone (south west)
40,Steiermark,City of Graz – Historic Centre / buffer zone (west)
41,Steiermark,City of Graz – Historic Centre / buffer zone (north west)
42,Steiermark,City of Graz – Historic Centre / buffer zone (east)
43,Steiermark,City of Graz – Historic Centre / core zone
44,Steiermark,City of Graz – Schloss Eggenberg / Historic Centre / buffer zone
49,Prov. West-Vlaanderen,Belfry
50,Prov. West-Vlaanderen,
54,Prov. West-Vlaanderen,Historic Centre of Brugge
55,Prov. West-Vlaanderen,Cloth Hall
60,Prov. West-Vlaanderen,Old Town Hall
62,Prov. Limburg (BE),
63,Veri,
72,Prov. Oost-Vlaanderen,
81,Yugozapaden,Boyana Church
82,Jihovýchod,
85,Ticino,
88,Illes Balears,
89,Tirol,
90,Niederösterreich,Wachau Cultural Landscape
91,Freiburg,
92,Oberbayern,
93,Zentralschweiz,
94,Severen tsentralen,
95,Vorarlberg,
96,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,
98,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,Great Beguinage
102,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,Grand Place
104,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,Sonian Forest - Grippensdelle A
107,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,Sonian Forest - Grippensdelle B
111,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,Forest reserve Ticton A
112,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,Forest reserve Ticton B
116,Prov. Antwerpen,Plantin-Moretus House-Workshops-Museum Complex
117,Prov. Antwerpen,
119,Prov. Antwerpen,Cathedral of Our Lady
127,Prov. Liège,
128,Espace Mittelland,
129,Espace Mittelland,Cathedral
130,Nordwestschweiz,
131,Yuzhen tsentralen,
132,Oberösterreich,
133,Qender,
134,Jug,
135,Zürich,
136,Severovýchod,
137,Salzburg,Historic Centre of the City of Salzburg
138,Salzburg,
140,Kärnten,
141,Prov. Brabant Wallon,
143,Prov. Brabant Wallon,Great Beguinage
146,Prov. Brabant Wallon,Grand Place
