,Location,Latitude,Longitude
0,Karlsruhe,49.01,8.4
1,Ostschweiz,47.41,9.04
2,Střední Čechy,50.06,13.83
3,Région lémanique,46.44,6.52
4,Prov. Vlaams-Brabant,50.92,4.58
5,Severoiztochen,43.59,27.23
6,Jihozápad,49.33,13.94
7,Kýpros,34.92,32.89
8,Praha,50.06,14.45
9,Yugoiztochen,42.43,26.82
10,Burgenland,47.5,16.42
11,Tübingen,48.52,9.05
12,Steiermark,47.25,15.17
13,Prov. West-Vlaanderen,51.0,3.0
14,Prov. Limburg (BE),51.25,6.0
15,Veri,42.47,0.53
16,Prov. Oost-Vlaanderen,51.0,3.75
17,Yugozapaden,42.64,23.29
18,Jihovýchod,49.24,16.14
19,Ticino,46.34,8.75
20,Illes Balears,39.61,2.88
21,Tirol,47.22,11.53
22,Niederösterreich,48.28,15.76
23,Freiburg,48.0,7.85
24,Oberbayern,48.24,11.97
25,Zentralschweiz,46.87,8.18
26,Severen tsentralen,43.40,25.09
27,Vorarlberg,47.25,9.92
28,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,50.84,4.38
29,Prov. Antwerpen,51.22,4.4
30,Prov. Liège,-22.27,166.45
31,Espace Mittelland,47.38,9.43
32,Nordwestschweiz,47.45,7.43
33,Yuzhen tsentralen,41.71,24.79
34,Oberösterreich,48.25,14.0
35,Qender,42.2,19.36
36,Jug,59.99,46.05
37,Zürich,47.37,8.54
38,Severovýchod,49.89,16.88
39,Salzburg,47.8,13.05
40,Kärnten,46.75,13.83
41,Prov. Brabant Wallon,50.75,4.58
42,Moravskoslezsko,49.86,18.04
43,Wien,48.21,16.37
44,Prov. Hainaut,50.47,3.91
45,Andalucía,37.34,-4.58
46,Región de Murcia,37.92,-1.48
47,Ciudad de Ceuta,35.89,-5.33
48,Ciudad de Melilla,35.3,-2.94
49,Schleswig-Holstein,54.19,9.82
50,Helsinki-Uusimaa,60.17,24.94
51,Galicia,42.62,-7.86
52,Ile-de-France,48.64,2.75
53,Berlin,52.51,13.4
54,Dytiki Makedonia,41.67,21.75
55,Düsseldorf,51.23,6.78
56,Sterea Elláda,40.32,23.13
57,Thüringen,50.9,11.04
58,Sardegna,40.09,9.03
59,Provincia Autonoma di Bolzano/Bozen,46.5,11.35
60,Hovedstaden,55.86,12.31
61,Åland,60.17,20.08
62,Cantabria,43.16,-4.09
63,Ipeiros,39.67,20.67
64,Köln,50.94,6.96
65,Mittelfranken,49.32,10.69
66,Dresden,51.05,13.74
67,Bremen,53.08,8.81
68,Hamburg,53.55,10.0
69,Castilla-La Mancha,39.42,-2.62
70,Kriti,33.61,75.38
71,Saarland,49.38,6.95
72,Detmold,51.94,8.88
73,Extremadura,39.17,-6.15
74,Etelä-Suomi,64.0,26.0
75,Pohjois- ja Itä-Suomi,64.0,26.0
76,Peloponnisos,37.5,22.33
77,Attiki,38.0,23.72
78,Gießen,50.58,8.69
79,Sachsen-Anhalt,52.01,11.7
80,Castilla y León,41.55,-5.14
81,Leipzig,51.34,12.37
82,Comunidad Foral de Navarra,42.61,-1.83
83,Chemnitz,50.83,12.92
84,Principado de Asturias,43.31,-5.94
85,Prov. Luxembourg (BE),-22.3,166.44
86,Sjælland,55.55,11.7
87,Comunitat Valenciana,39.68,0.77
88,País Vasco,42.73,-1.97
89,Aragón,41.38,0.76
90,Comunidad de Madrid,40.52,-3.77
91,Canarias,28.29,-16.62
92,Niederbayern,48.69,12.75
93,Severozapaden,6.38,10.39
94,Länsi-Suomi,64.0,26.0
95,Region Šumadije i Zapadne Srbije,44.09,20.80
96,Prov. Namur,50.46,4.84
97,Rheinhessen-Pfalz,49.54,8.36
98,Stuttgart,48.78,9.18
99,Severozápad,50.47,13.75
100,Cataluña,41.85,1.57
101,La Rioja,-29.97,-67.05
102,Střední Morava,49.65,17.29
103,Centre — Val de Loire,47.55,1.73
104,Nord-Est,19.52,-71.87
105,Stockholm,59.33,18.07
106,Östra Mellansverige,59.17,15.18
107,Friuli-Venezia Giulia,46.15,13.06
108,Severna Makedonija,41.62,21.72
109,Área Metropolitana de Lisboa,38.72,-9.12
110,Centro (PT),40.68,-7.7
111,Śląskie,50.57,19.23
112,Småland med öarna,56.69,14.94
113,Luxembourg,49.82,6.13
114,Kujawsko-pomorskie,53.32,18.34
115,Wielkopolskie,52.15,17.4
116,Latvija,56.84,24.75
117,Autonomous Province of Vojvodina,45.41,19.98
118,Warmińsko-mazurskie,53.93,21.13
119,Limousin,44.89,4.85
120,Zachodniopomorskie,53.55,15.57
121,Dolnośląskie,50.92,16.49
122,Opolskie,50.89,17.93
123,Łódzkie,51.47,19.35
124,Region Južne i Istočne Srbije,43.80,22.06
125,Vidurio ir vakarų Lietuvos regionas,54.79,25.30
126,Poitou-Charentes,46.17,0.07
127,Alentejo,38.06,-7.86
128,Zahodna Slovenija,46.08,15.0
129,Pomorskie,54.25,18.11
130,Lubuskie,52.1,15.36
131,Algarve,-30.03,-51.08
132,Crna Gora,42.99,19.52
133,Friesland (NL),53.09,5.78
134,Drenthe,52.91,6.64
135,Mazowiecki regionalny,52.83,20.27
136,Sud-Muntenia,44.63,25.25
137,Toscana,43.46,11.14
138,Umbria,42.97,12.49
139,Groningen,53.22,6.57
140,Emilia-Romagna,44.53,11.04
141,Noord-Brabant,51.6,5.44
142,Limburg (NL),51.2,5.9
143,Haute-Normandie,49.42,1.0
144,Brandenburg,52.85,13.25
145,Eesti,58.75,25.33
146,Sicilia,37.59,14.16
147,Sud-Est,18.3,-72.37
148,Świętokrzyskie,50.75,20.78
149,"Anatoliki Makedonia, Thraki",41.14,23.82
150,Unterfranken,50.02,9.89
151,Gelderland,52.1,5.95
152,Syddanmark,55.38,9.13
153,Lüneburg,53.25,10.41
154,Norte,50.53,3.09
155,Weser-Ems,46.83,9.45
156,Voreio Aigaio,39.18,25.92
157,Ionia Nisia,38.5,20.5
158,Centru,47.02,28.83
159,Dytiki Elláda,38.69,22.1
160,Thessalia,39.58,22.16
161,Arnsberg,51.4,8.06
162,Podkarpackie,49.99,22.18
163,Oberfranken,50.06,11.55
164,Trier,49.76,6.64
165,Lubelskie,50.94,22.83
166,Lazio,41.98,12.77
167,Braunschweig,52.26,10.52
168,Kentriki Makedonia,39.66,20.71
169,Notio Aigaio,37.02,25.48
170,Mecklenburg-Vorpommern,53.77,12.58
171,Midtjylland,56.24,9.23
172,Veneto,45.65,11.87
173,Nord-Vest,45.81,24.11
174,Zeeland,51.42,3.7
175,Nordjylland,57.08,10.04
176,Oberpfalz,49.41,12.14
177,Münster,51.96,7.63
178,Região Autónoma dos Açores,37.81,-25.47
179,Região Autónoma da Madeira,32.75,-16.98
180,Małopolskie,49.79,20.38
181,Provincia Autonoma di Trento,46.1,11.13
182,Schwaben,48.15,10.47
183,Darmstadt,49.89,8.67
184,Kassel,51.32,9.49
185,Hannover,52.37,9.74
186,Basse-Normandie,48.93,0.53
187,Koblenz,50.35,7.59
188,"Herefordshire, Worcestershire and Warwickshire",52.33,-1.58
189,East Wales,44.16,-70.04
190,North Eastern Scotland,56.0,-4.0
191,Highlands and Islands,22.26,113.96
192,Lincolnshire,53.18,0.2
193,Cornwall and Isles of Scilly,50.42,-4.75
194,Stredné Slovensko,48.83,19.47
195,West Central Scotland,56.08,-4.12
196,Picardie,50.1,2.72
